metric,value
n_trades,820.0
n_winners,463.0
n_losers,357.0
win_rate,0.5646
net_profit,321895.7448
gross_profit,531991.9793
gross_loss,-210096.2345
avg_win,1149.0108
avg_loss,-588.5049
profit_factor,2.5321
expectancy,392.5558
largest_win,4102.1313
largest_loss,-2047.45
max_consecutive_wins,16.0
max_consecutive_losses,16.0
avg_holding_bars,13.03
max_drawdown,-11841.832
max_drawdown_pct,-0.213594
recovery_factor,24.1167
ulcer_index,0.05497
sharpe_ratio,6.4805
sortino_ratio,2.7177
calmar_ratio,133.7052
omega_ratio,1.2747
exit_tp,453.0
exit_sl,367.0
exit_trailing,0.0
exit_time_stop,0.0
exit_be,0.0
exit_eod,0.0
