label_column,majority_acc,random_baseline,n_classes,n_valid
direction_1b,0.6260085483760371,0.3333333333333333,3,87502
bias_1b,0.5024799433155813,0.5,2,87502
direction_3b,0.43109714285714285,0.3333333333333333,3,87500
bias_3b,0.5028685714285714,0.5,2,87500
direction_5b,0.34809938512880295,0.3333333333333333,3,87498
bias_5b,0.5047086790555213,0.5,2,87498
direction_10b,0.3822362931891694,0.3333333333333333,3,87493
bias_10b,0.5066462459853931,0.5,2,87493
long_outcome,0.66612919825723,0.3333333333333333,3,87447
short_outcome,0.6642652120713117,0.3333333333333333,3,87447
outcome,0.5063981611719098,0.3333333333333333,3,87447
setup_quality,0.4726863128523563,0.25,4,87447
entry_signal,0.570345466396789,0.3333333333333333,3,87447
optimal_entry_offset,0.4132789003625053,0.09090909090909091,11,87447
time_to_entry,0.42015927454513746,0.1,10,86015
is_optimal_entry,0.5709924187849473,0.5,2,87453
mgmt_strategy,0.5063981611719098,0.3333333333333333,3,87447
mgmt_exit_type,0.5051859983761593,0.25,4,87447
