window_number,model_name,optimized_val_score,baseline_val_score,improvement_pct,n_trials,optimization_time_s
0,xgboost,0.5309762570448076,,,25,41963.82799999998
0,lightgbm,0.5294743331923172,,,25,2270.140999999945
0,random_forest,0.4759437177503741,,,16,2435.7029999999795
0,extra_trees,0.46299458906092283,,,25,3007.859000000055
1,xgboost,0.4778588106875687,,,15,6070.905999999959
1,lightgbm,0.4527731957867606,,,22,1016.390999999945
1,random_forest,0.42152915380140005,,,25,11212.187999999966
1,extra_trees,0.4105710642255493,,,25,2156.1870000000345
2,xgboost,0.49911498052259873,,,24,1388.4370000000345
2,lightgbm,0.47881279015081485,,,17,878.0779999999795
2,random_forest,0.44532497482336764,,,25,12255.594000000041
2,extra_trees,0.41794924206121875,,,25,2153.765999999945
3,xgboost,0.503697034762364,,,23,1173.75
3,lightgbm,0.5008754297985912,,,25,1069.625
3,random_forest,0.4567563456311743,,,25,11057.82799999998
3,extra_trees,0.4337055267696636,,,25,2236.3429999999935
4,xgboost,0.5379434213900233,,,25,24200.561999999918
4,lightgbm,0.5374415297908856,,,22,992.859999999986
4,random_forest,0.49375448523899035,,,25,15318.265000000014
4,extra_trees,0.457886362654226,,,25,3473.5620000000345
5,xgboost,0.530575745184881,,,15,926.1560000000754
5,lightgbm,0.5304113705694441,,,22,1010.1570000000065
5,random_forest,0.5044723766478166,,,25,11228.79700000002
5,extra_trees,0.46091161451442625,,,25,3278.280999999959
